ID,SMILES,AV_Bit,AV
Ligand44,[O-][N+](=O)c1ccc(cc1)CNc1c2nc[nH]c2nc(NCc2cccc(C(F)(F)F)c2)n1,1,-5.293449568
Ligand45,Nc1nc(nc2n([C@@H]3O[C@@H]([C@@H](O)[C@@H]3F)CO)cnc12)Cl,1,-5.289306159
Ligand46,Oc1cc(c(cc1O)O)C(=O)CCC,1,-5.275688651
Ligand47,C[N+]1(CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1)C,1,-5.252167697
Ligand48,Oc1cc(c(cc1O)O)CCN,1,-5.247714638
Ligand49,Oc1cccc2Cc3cccc(O)c3C(=O)c12,1,-5.217614028
Ligand50,O[C@H]1Cc2c(cc(cc2O)O)O[C@@H]1c1cc(O)c(cc1)O,1,-5.217308635
Ligand51,Oc1ccc(c2c(c(=O)c3c(cc(cc3o2)O)O)O)c(O)c1,1,-5.204713739
Ligand52,CCN(CC)CCOc1ccc(C(=C(c2ccccc2)Cl)c2ccccc2)cc1,1,-5.177525733
Ligand53,CN(CCOc1ccc(/C(=C(\c2ccccc2)/CC)/c2ccccc2)cc1)C,1,-5.174210305
Ligand54,CC(=O)O[Hg]c1ccccc1,1,-5.169806482
Ligand55,CCN(CCOc1c(cc(C(=O)c2c3ccccc3oc2CCCC)cc1I)I)CC,1,-5.16045276
Ligand56,CNCCc1cc(O)c(cc1)O,1,-5.158867999
Ligand57,CN1C2CCC1CC(C2)OC(c1ccccc1)c1ccccc1,1,-5.15844708
Ligand58,CCOP(=S)(Oc1ccc2c(oc(=O)c(Cl)c2C)c1)OCC,1,-5.154286938
Ligand59,COc1cc(C(=O)OCCCN2CCCN(CC2)CCCOC(=O)c2cc(c(c(OC)c2)OC)OC)cc(OC)c1OC,1,-5.138265573
Ligand60,Oc1cc(C(=O)O)cc(O)c1O,1,-5.122484796
Ligand61,Oc1ccc([C@H](CN)O)cc1O,1,-5.119381255
Ligand62,Oc1ccc(cc1)CCNc1ccc(c2C(=O)c3c(cccc3)C(=O)c12)NCCc1ccc(cc1)O,1,-5.108691681
Ligand63,Sc1ncnc2n([C@@H]3O[C@@H]([C@@H](O)[C@H]3O)CO)cnc12,1,-5.101765047
Ligand65,Oc1ccc([C@H]2CNCc3c(O)c(O)ccc23)cc1O,1,-5.090681025
Ligand66,C[N+](=C1C=CC(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=C1)C,1,-5.089464864
Ligand67,Oc1ccc(c(O)c1O)C=O,1,-5.085824403999999
Ligand68,O=C1CC[C@H]2[C@@H]3CCC4=C(C(=O)CC[C@]4(C)[C@H]3CC[C@]12C)O,1,-5.085083699
Ligand69,Oc1cc2CC[C@@H]3[C@H](CC[C@@]4([C@H]([C@@H](C[C@@H]34)O)O)C)c2cc1,1,-5.084200882
Ligand70,Nc1cc2nc3cc(ccc3cc2cc1)N,1,-5.0821840830000005
Ligand71,CC(=O)c1ccc(c(OC)c1)OCCCN1CCC(c2noc3cc(ccc23)F)CC1,1,-5.079923238
Ligand72,Ic1c2Oc3c(c(c(cc3C3(OC(=O)c4ccccc34)c2cc(I)c1O)I)O)I,1,-5.0782246980000005
Ligand73,Oc1ccc(cc1O)C[C@@](C(=O)O)(N)C,1,-5.072189918
Ligand74,CCN(CCNC(=O)c1cc(nc2ccccc12)OCCCC)CC,1,-5.061318895
Ligand75,CN(c1ccc(c2C(=O)C3=C([C@@]4(C(=O)C(=C([C@@H](N(C)C)[C@@H]4C[C@@H]3Cc12)O)C(=O)N)O)O)O)C,1,-5.058204431
Ligand76,OCC(=O)[C@@]1(Cc2c([C@@H](O[C@H]3C[C@@H]([C@@H]([C@H](C)O3)O[C@@H]3CCCCO3)N)C1)c(c1C(=O)c3c(cccc3C(=O)c1c2O)OC)O)O,1,-5.044923722
Ligand77,NCCc1cc(c(cc1)O)O,1,-5.042813229
Ligand78,CC1(C(=O)O)C2CCC(O2)C1(C(=O)O)C,1,-5.035162779
Ligand79,[O-]C(=O)c1ccccc1c1c2cc(c(c(Br)c2oc2c(Br)c(=O)c(Br)cc12)[O-])Br,1,-5.034417858
Ligand80,CN(C(=O)C(c1ccccc1)(c1ccccc1)CCN1CCC(c2ccc(cc2)Cl)(CC1)O)C,1,-5.031310694
Ligand81,C[N+](CC)(CCCCCCCCCCCCCCCC)C,1,-5.024139348
Ligand82,O=[N+](c1cc(ccc1O)N)[O-],1,-5.020719523
Ligand83,Nc1cccc2c(N)cccc12,1,-5.019458118999999
Ligand84,COC1CN(C2CC(OC(C)C2O)OC2C[C@](C(=O)CO)(Cc3c(O)c4c(C(=O)c5c(cccc5C4=O)OC)c(O)c23)O)CCO1,1,-5.01441614
Ligand85,CN([C@H]1CC[C@@H](O[C@H]2C=CC=CC[C@H](OC(=O)C[C@H]([C@@H]([C@H]([C@H](C[C@H]2C)CC=O)O[C@@H]2O[C@@H]([C@H]([C@H](N(C)C)[C@H]2O)O[C@H]2C[C@]([C@H]([C@H](C)O2)O)(O)C)C)OC)OC(=O)C)C)O[C@@H]1C)C,1,-5.011104929
Ligand86,CN1CCN(C2=Nc3ccccc3Oc3ccc(cc23)Cl)CC1,1,-5.00668905
Ligand87,CC12C3CCC(O3)C2(C(=O)OC1=O)C,1,-4.997448213999999
Ligand88,OC(=O)c1cc(nc(O)n1)O,1,-4.985063133
Ligand89,Oc1ccc2[nH]c3c(c4c(c(c5ccccc5)c3)c(=O)[nH]c4=O)c2c1,1,-4.984175639
Ligand90,Cc1ccc([S+](=O)(/C=C/C#N)[O-])cc1,1,-4.981154054
Ligand91,CNCCCCOc1ccccc1Cc1ccccc1,1,-4.980938738
Ligand92,O=C(OCC(CN1CCCCC1)OC(=O)Nc1ccccc1)Nc1ccccc1,1,-4.97912541
Ligand93,CCN(CCCC(Nc1ccnc2cc(ccc12)Cl)C)CC,1,-4.975980772
Ligand94,Ic1cc(cc(I)c1O)Oc1ccc(cc1I)C[C@@H](C(=O)O)N,1,-4.975918315
Ligand95,CC(c1c2cc(c(c(O)c2c(c(O)c1O)C=O)c1c(cc2c(c(c(c(O)c2C(C)C)O)C=O)c1O)C)C)C,1,-4.974243358
Ligand96,Cc1nc(c2c(c3ccc4nccnc4c3)nc(C(C)(C)C)[nH]2)ccc1,1,-4.973945786
Ligand97,Oc1cc(cc(O)c1)/C=C/c1ccc(cc1)O,1,-4.969365593
Ligand98,COC(=O)C1=CO[C@H]([C@@H]2C(=CC[C@H]12)CO)O,1,-4.964111193
Ligand99,C[C@@H]1O[C@H]([C@@H]([C@H](O)[C@H]1O)O)O[C@H]1C[C@H]([C@@]2([C@H]3[C@@H](C[C@@]4([C@@H]([C@@H]5COC(=O)C5)CC[C@]4(O)C3CC[C@]2(O)C1)C)O)CO)O,1,-4.9629797369999995
Ligand100,CC1(CCC2=C(c3c(C(=O)C2=O)cccc3)O1)C,1,-4.960906822
Ligand101,NC(=O)C1=C([C@H]([C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(cccc1[C@]3(O)C)O)N(C)C)O,1,-4.956360098
Ligand102,C1CN=C(C2COc3c(cccc3)O2)N1,1,-4.954772029
Ligand103,N(C(=O)c1c(c(ccc1)O)C)[C@H]([C@@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)CSc1ccccc1,1,-4.948293363
Ligand104,O=[N+](c1ccc(C=C/C(=N\NC(=N)N)/C=Cc2ccc([N+](=O)[O-])o2)o1)[O-],1,-4.9434929389999995
Ligand105,O=C(c1cccc(c2cccc(N/N=C\3/C(=O)N(c4ccc(c(C)c4)C)N=C3C)c2O)c1)O,1,-4.939277311000001
Ligand106,CC(c1ccccc1)NCCC(c1ccccc1)c1ccccc1,1,-4.933589498
Ligand107,CCNC(=O)N1CCN(CC1)CCCC(c1ccc(cc1)F)c1ccc(cc1)F,1,-4.932609997
